id,question,answer,tags
1,How do you perform an inner join in SQL?,"Use the INNER JOIN clause to combine rows from two tables where a matching condition is met. Example: SELECT a.col1, b.col2 FROM table_a a INNER JOIN table_b b ON a.id = b.a_id;. If we discussed table structure earlier, apply the same join keys used previously.",sql
2,What is the difference between WHERE and HAVING?,"WHERE filters rows before aggregation; HAVING filters groups after aggregation. Use WHERE for row-level filters and HAVING when you need to filter aggregated results (e.g., SUM, COUNT).",sql
3,How would you optimize a slow SQL query?,"Start with EXPLAIN/EXPLAIN ANALYZE to find bottlenecks, add appropriate indexes, avoid SELECT *, rewrite subqueries as joins where possible, and consider partitioning or denormalization for heavy read loads. Based on prior context about table size, pick indexing strategy accordingly.","sql,performance"
4,Explain ACID properties.,"ACID stands for Atomicity, Consistency, Isolation, Durability — guarantees for reliable transactions in relational DBs. Apply isolation level choices per earlier trade-offs we discussed (e.g., read-committed vs serializable).","sql,databases"
5,What is a primary key and foreign key?,"Primary key uniquely identifies rows in a table. Foreign key is a column referencing a primary key in another table to enforce referential integrity. When designing joins, use the same keys you defined earlier in schema context.",sql
6,How do you handle NULL values in SQL?,"Use IS NULL / IS NOT NULL to check for nulls, COALESCE(expr, default) to provide default values, and careful filtering in WHERE/HAVING to avoid accidental exclusion. If previous steps inserted rows with missing fields, use COALESCE during SELECT.",sql
7,What is a window function? Give an example.,"Window functions compute results across a set of rows related to the current row, without collapsing rows. Example: SELECT id, value, ROW_NUMBER() OVER (PARTITION BY category ORDER BY value DESC) rn FROM items;. Use them for running totals, ranking, and percentiles as discussed earlier.","sql,advanced"
8,Explain normalization and denormalization.,"Normalization reduces redundancy (1NF, 2NF, 3NF). Denormalization intentionally duplicates data to speed reads for analytics or high-read workloads. Choose based on previous context about read/write ratio.","sql,data-modeling"
9,How to perform pagination in SQL efficiently?,Use keyset pagination (WHERE (col > last_value) ORDER BY col LIMIT n) for large offsets instead of OFFSET-based pagination to avoid scanning many rows. Apply the column used previously as ordering key for consistency with prior pages.,"sql,performance"
10,How do you create an index in Postgres?,"CREATE INDEX idx_name ON table_name(column_name); For multi-column queries, create a composite index matching query filters and ordering. If earlier queries filter by (user_id, created_at), index that exact column order.","sql,postgres"
11,What is Python list comprehension? Provide an example.,"A compact syntax to create lists from iterables: [x*2 for x in nums if x>0]. If you previously transformed data, replace that pipeline step with a comprehension for concise code.",python
12,Explain the difference between a list and a tuple in Python.,"Lists are mutable; tuples are immutable (faster, hashable if containing hashable items). Use tuples for fixed collections discussed earlier that should not change.","python,basics"
13,How do you handle exceptions in Python?,Use try/except blocks; optionally finally for cleanup and else for code that runs when no exception occurs. Example: try: ... except ValueError as e: ... finally: cleanup(). Follow the error-handling pattern we used earlier in your project modules.,python
14,What is a Python generator and when would you use it?,Generators yield items lazily using yield; useful for streaming large datasets without loading everything into memory. Replace previous list-building steps with a generator if memory was a constraint.,"python,advanced"
15,Describe Python decorators.,"Decorators are callables that take a function and return a new function, used to modify behavior (logging, caching, auth). Syntax: @decorator above a function. Use them to apply cross-cutting behavior consistently as discussed in earlier functions.","python,advanced"
16,How do you manage dependencies for a Python project?,"Use a virtual environment (venv), pin versions in requirements.txt or pyproject.toml, and consider poetry for reproducible builds. Align environment specs with the CI config we referenced earlier.","python,devops"
17,Explain GIL in Python. How does it affect concurrency?,"GIL (Global Interpreter Lock) prevents multiple native threads from executing Python bytecode simultaneously in CPython. Use multiprocessing or async IO for CPU-bound and I/O-bound workloads respectively, based on the concurrency needs we discussed earlier.","python,concurrency"
18,How would you profile a Python application?,"Use cProfile or profile, line_profiler, and visualize with snakeviz. First identify hotspots based on previous metrics, then profile to find expensive functions to optimize.","python,performance"
19,How do you read a file in Python safely?,"Use with open('file') as f: lines = f.read() to ensure file is closed automatically. If reading large files, iterate line by line or use generators as discussed for streaming workloads.","python,basics"
20,How do you connect to a database from Python?,"Use a DB driver (psycopg2 for Postgres) or an ORM (SQLAlchemy). Manage connections with a pool (e.g., SQLAlchemy pool) and reuse it per earlier architecture decisions for efficiency.","python,databases"
21,How do you check disk usage in Linux?,"Use df -h for filesystem usage and du -sh <dir> for directory size. If earlier logs were growing, identify and rotate logs using logrotate or custom scripts.","linux,ops"
22,How to find running processes and kill one?,"Use ps aux | grep process_name or pgrep, and kill <pid> or kill -9 <pid> for force. Prefer graceful shutdown first. If you previously started a process in the session, use its recorded PID.","linux,ops"
23,Explain how to view and follow logs in Linux.,"Use tail -f /var/log/file.log to follow. For systemd services use journalctl -u service_name -f. If we set up service earlier, use the same unit name for logs.","linux,ops"
24,How to check network interfaces and IP address?,"Use ip addr show or ifconfig (if installed). For routing tables use ip route. If you configured a network earlier, validate the interface name the same way.","linux,network"
25,How to change file permissions and ownership?,"Use chmod to change permissions (e.g., chmod 644 file) and chown user:group file to change owner. Apply the same permission policy we discussed for deployed app files.","linux,security"
26,How to schedule a cron job?,Edit crontab with crontab -e and add a line like 0 2 * * * /path/to/script.sh. Confirm the user and environment match the earlier deployment context to avoid PATH issues.,"linux,ops"
27,What is SSH and how do you connect?,SSH (Secure Shell) provides encrypted shell access: ssh user@host -p port. Use key-based auth and ensure the public key is in ~/.ssh/authorized_keys on the host as set up earlier.,"linux,security"
28,How do you find which process is using a port?,"Use sudo lsof -i :<port> or ss -ltnp | grep <port>. If we started the service earlier, this helps tie port to the PID recorded earlier.","linux,ops"
29,"Explain IaaS, PaaS, and SaaS.","IaaS provides raw infrastructure (VMs, storage), PaaS offers managed runtimes, and SaaS provides complete applications. Choose based on constraints we discussed earlier — e.g., quick deployment vs full control.","cloud,basics"
30,What is autoscaling in cloud environments?,"Autoscaling automatically adjusts the number of instances based on metrics (CPU, requests). Configure scaling policies consistent with the traffic patterns we established earlier to avoid thrash.","cloud,aws,gcp"
31,How do you deploy a containerized app to Kubernetes?,"Build a container image, push to a registry, create Deployment and Service manifests, then kubectl apply -f manifests. Use the same image tag strategy we discussed earlier for rolling updates.","cloud,k8s"
32,What is IaC (Infrastructure as Code)?,"IaC uses code to provision resources (Terraform, CloudFormation). Keep state management consistent with the approach we selected earlier and store state securely.","cloud,devops"
33,How do you secure secrets in cloud deployments?,"Use secret managers (AWS Secrets Manager, GCP Secret Manager), IAM roles, and avoid storing secrets in code or public repos. Ensure the secret access patterns follow the policy we outlined earlier.","cloud,security"
34,Explain the difference between synchronous and asynchronous APIs in cloud services.,"Synchronous APIs return immediately with a result; asynchronous APIs accept a request and return later (via callbacks, polling or events). Use async patterns for long-running tasks as planned earlier in your architecture.","cloud,design"
35,How to set up a CI/CD pipeline?,"Use tools like GitHub Actions, GitLab CI, or Jenkins: run tests, build artifacts, push image, and deploy. Mirror the stages we agreed earlier: test → build → staging → prod with approvals.","cloud,devops"
36,What is load balancing and why is it used?,"Load balancing distributes traffic across instances to improve availability and performance. Choose a strategy (round-robin, least-connections) based on the traffic characteristics we recorded earlier.","cloud,networking"
37,How would you migrate a database with minimal downtime?,"Use techniques like replication (read-replica to primary swap), transactional dumps with binlog replay, or blue/green migration to minimize downtime, following the migration plan we discussed earlier.","cloud,databases"
38,Describe observability best practices.,"Collect metrics, logs, and traces; set alerts for SLO violations; and use dashboards for health checks. Tailor thresholds and dashboards to the KPIs we identified earlier for your demo.","cloud,monitoring"
39,How do you roll back a failed deployment?,"Automate rollbacks in your deployment system (e.g., kubectl rollout undo or CI/CD rollback job) and use the same canary/rollback strategy we defined earlier to reduce blast radius.","cloud,devops"
40,How should the assistant use context during an interview session?,"Maintain session state (recent questions, mentioned projects, chosen technologies) and reference them in answers: e.g., 'Given your earlier mention of PostgreSQL, you can…'. Persist short session context and include it when creating embeddings or matching answers.","context,design"
